"gender","age","What language(s) do you usually speak at home?","Please specify which other languages you speak at home","Do you speak only a non-English language, more of a non-English language than English, both equally, more English than a non-English language, or only English?","Next I have some general questions about your health.  Would you say your health in general is...","Did you have a head cold or chest cold that started during those 30 days?","Now I'm going to ask a few questions about milk products. Do not include their use in cooking.  In the past 30 days, how often did you have milk to drink or on your cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea.  Would you say...","The next questions are about meals provided by community or government programs.  In the past 12 months, did you receive any meals delivered to your home from community programs, ""Meals on Wheels"", or any other programs?","In the past 12 months, did you buy food from fast food or pizza places?","If nutrition or health information were readily available in fast food or pizza places, would you use it often, sometimes, rarely, or never, in deciding what to order?","Do you have trouble concentrating on things, such as reading the newspaper or watching TV? Would you say...","Over the last 2 weeks, how often have you been bothered by the following problems: - little interest or pleasure in doing things?","Over the last 2 weeks, how often have you been bothered by the following problems: - feeling down, depressed, or hopeless?","Over the last 2 weeks, how often have you been bothered by the following problems: - trouble falling or staying asleep, or sleeping too much?","Over the last 2 weeks, how often have you been bothered by the following problems: - feeling tired or having little energy?","Over the last 2 weeks, how often have you been bothered by the following problems: - poor appetite or overeating?","Over the last 2 weeks, how often have you been bothered by the following problems: - feeling bad about yourself – or that you are a failure or have let yourself or your family down?","For these statements, please tell me whether the statement was often true, sometimes true, or never true for you in the last 12 months, that is since [OtherDate-PT--1%20year]. - I worried whether my food would run out before I got money to buy more","For these statements, please tell me whether the statement was often true, sometimes true, or never true for you in the last 12 months, that is since [OtherDate-PT--1%20year]. - The food that I bought just didn’t last, and I didn’t have enough money to get more food.","For these statements, please tell me whether the statement was often true, sometimes true, or never true for you in the last 12 months, that is since [OtherDate-PT--1%20year]. - I couldn’t afford to eat balanced meals.","In a typical week, on how many days {do you/does SP} do vigorous-intensity activities as part of {your/his/her} work?","Does your work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?","The next questions exclude the physical activities at work that you have already mentioned. Now I would like to ask you about the usual way you to and from places. For example to school, for shopping, to work. In a typical week do you walk or use a bicycle for at least 10 minutes continuously to get to and from places?","In a typical week, on how many days do you walk or bicycle for at least 10 minutes continuously to get to and from places?","Over the past 30 days, on average how many hours per day did you sit and watch TV or videos?"
"Male",73,"English",NA,NA,"poor","No","sometimes","No","Yes","Rarely","Nearly every day","Several days","Not at all","Several days","More than half the days","Not at all","Several days","Never true","Never true","Never true","5","No","No","6","4 hour"
"Male",65,"English",NA,NA,"good","No","often",NA,"No",NA,"Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Sometimes true","5","Yes","No",NA,"1 hour"
"Female",33,"English",NA,NA,"good","No","often","No","Yes","Sometimes","Several days","Several days","Not at all","Several days","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Never true","3","No","No",NA,"3 hour"
"Female",45,"English",NA,NA,"good","No","never","No","No","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Male",32,"English",NA,NA,"good","No","often",NA,"Yes","Often","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Sometimes true",NA,"Yes","No",NA,"4 hour"
"Male",61,"English",NA,"Only Non-English language","good","No","never",NA,"Yes","Rarely","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"less than 1 hour"
"Male",41,"English",NA,NA,"very good","Yes","often","No","Yes","Often","Not at all","Not at all","Several days","Several days","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Male",53,"English",NA,NA,"good","Yes","often",NA,"Yes","Sometimes","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Not at all","Sometimes true","Never true","Never true",NA,"Yes","No",NA,"1 hour"
"Male",73,"English",NA,NA,"very good","No","often","No","No",NA,"More than half the days","Not at all","More than half the days","Not at all","More than half the days","Not at all","Not at all","Never true","Never true","Sometimes true",NA,"No","No",NA,"5 hour"
"Male",63,NA,NA,"Only Non-English language","fair","Yes","sometimes","No","Yes","Never","Not at all","Not at all","Nearly every day","Several days","Not at all","Not at all","Several days","Often true","Never true","Never true",NA,"Yes","Yes","3","1 hour"
"Male",48,"English",NA,NA,"very good","Yes","never",NA,"Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Often true","Often true","Never true",NA,"Yes","No",NA,"less than 1 hour"
"Male",66,"English",NA,NA,"good","No","sometimes","No","Yes","Often","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","Yes","5","2 hour"
"Female",19,"English",NA,NA,"good","No","often","No","Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Female",42,"English",NA,NA,"good","No","sometimes",NA,"Yes","Sometimes","Several days","Several days","Several days","Several days","Not at all","Not at all","Several days","Never true","Never true","Sometimes true","3","Yes","No",NA,"3 hour"
"Female",68,"English",NA,NA,"very good","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Never true",NA,"No","No",NA,"3 hour"
"Female",74,"English",NA,NA,"very good","No","often",NA,"No",NA,"Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Often true","Sometimes true","Never true","2","Yes","Yes","5","2 hour"
"Female",32,NA,NA,"Only Non-English language","fair","No","often","No","No","Sometimes","Several days","Several days","More than half the days","Several days","Several days","Several days","Several days","Never true","Never true","Never true",NA,"No","Yes","1","less than 1 hour"
"Female",39,"English",NA,NA,"poor","Yes","sometimes",NA,"Yes","Sometimes","Not at all","Not at all","Nearly every day","More than half the days","Several days","Several days","Several days","Never true","Sometimes true","Never true",NA,"No","No",NA,"5 hour"
"Female",61,"English",NA,NA,"good","No","rarely",NA,"Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"4 hour"
"Female",33,"English",NA,"Only English","good","No","sometimes",NA,"Yes","Sometimes","Not at all","Not at all","More than half the days","More than half the days","Not at all","Not at all","Several days","Never true","Never true","Never true","5","Yes","No",NA,"2 hour"
"Female",38,NA,NA,"Only English","good","No","often",NA,"Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Sometimes true","Never true","Never true",NA,"Yes","No",NA,"1 hour"
"Male",54,NA,NA,"Only English","excellent","No","sometimes","No","Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true","5","Yes","No",NA,"5 hour"
"Female",23,NA,NA,"Only English","good","No","sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","Yes","2","2 hour"
"Female",56,"English",NA,NA,NA,"Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"1 hour"
"Female",58,"English",NA,NA,"good","No","often",NA,"Yes","Rarely","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","6","1 hour"
"Male",25,"English",NA,NA,"very good","No","sometimes","No","Yes","Never","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"5 hour"
"Female",32,"English",NA,NA,"good","No","often","No","No",NA,"Several days","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Never true",NA,"No","No",NA,"2 hour"
"Female",34,NA,NA,NA,"fair","No","often",NA,"Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true","1","No","Yes","3","4 hour"
"Male",61,"English",NA,"Only English","good","Yes","never",NA,"Yes","Sometimes","Not at all","Several days","Not at all","Several days","Not at all","Several days","Not at all","Sometimes true","Never true","Often true","2","Yes","No",NA,"less than 1 hour"
"Male",24,"English",NA,NA,NA,NA,"often",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"Yes","Yes","7","1 hour"
"Male",48,NA,NA,NA,"good","No","never","No","Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Sometimes true","Never true","Never true",NA,"No","Yes","7","2 hour"
"Male",66,NA,NA,"Only English","very good","No","often",NA,"No","Sometimes","Not at all","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","Yes","7","3 hour"
"Male",63,"English",NA,NA,"good","No","sometimes",NA,"Yes","Sometimes","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Sometimes true",NA,"No","Yes","2","1 hour"
"Male",21,"English",NA,NA,"very good","No","never",NA,"Yes","Sometimes","Several days","Several days","Several days","Several days","Not at all","Not at all","Nearly every day","Often true","Sometimes true","Never true",NA,"No","Yes","2","5 hour"
"Female",31,"English",NA,NA,"good","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"Yes","No",NA,"2 hour"
"Male",37,"English",NA,NA,"very good","No","sometimes",NA,"Yes","Often","Not at all","Not at all","Not at all","Several days","Several days","Not at all","Not at all","Never true","Never true","Never true","4","No","No",NA,"1 hour"
"Male",63,NA,NA,NA,"very good","No","rarely","No","No",NA,"Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Often true","Sometimes true","Sometimes true",NA,"Yes","No",NA,"4 hour"
"Female",76,NA,NA,"More English than non-English language","very good","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Male",58,"English",NA,"More non-English than English","good","Yes","often",NA,"Yes","Never","Not at all","Not at all","Not at all","Several days","Nearly every day","Not at all","Not at all","Sometimes true","Sometimes true","Never true",NA,"No","No",NA,"1 hour"
"Male",59,"English",NA,NA,"good","Yes","often","No","Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","No","3","1 hour"
"Male",68,"English",NA,NA,"excellent","No","sometimes","No","Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true","2","No","No","7","5 hour"
"Female",44,"English",NA,NA,"good","No","never",NA,"No","Often","More than half the days","Several days","Nearly every day","More than half the days","Nearly every day","Several days","Not at all","Often true","Sometimes true","Sometimes true",NA,"Yes","No","5","5 hour"
"Male",37,"English",NA,NA,"good","Yes","often","No","Yes","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Often true","Sometimes true","Sometimes true",NA,"Yes","No",NA,"less than 1 hour"
"Male",42,"English",NA,"Only English",NA,"Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"less than 1 hour"
"Male",58,"English",NA,NA,"good","Yes","never","No","Yes","Often","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Female",19,"English",NA,NA,"good","No","rarely",NA,"Yes","Never","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Sometimes true","Often true","Often true","3","No","No",NA,"4 hour"
"Female",37,NA,NA,NA,NA,"Yes","often",NA,"Yes","Never",NA,NA,NA,NA,NA,NA,NA,"Often true","Never true","Never true",NA,"No","Yes","3","5 hour"
"Female",21,"English",NA,"Only English","good","No","often",NA,"Yes","Rarely","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","5","1 hour"
"Male",76,"English",NA,NA,"very good","No","often","No","Yes","Never","Several days","Not at all","Not at all","Nearly every day","Not at all","Not at all","Several days","Never true","Never true","Never true",NA,"Yes","No",NA,"4 hour"
"Female",36,"English",NA,NA,"fair","No","sometimes",NA,"No",NA,"Several days","Not at all","More than half the days","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"5 hour"
"Male",66,"English",NA,NA,"fair","Yes","often","No","No",NA,"Not at all","Several days","Several days","Several days","More than half the days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"less than 1 hour"
"Female",16,"English",NA,NA,"excellent","No","rarely","No","Yes","Often","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"1 hour"
"Female",44,"English",NA,NA,"excellent","No","never","No","Yes","Often","Not at all","Several days","Several days","Not at all","Not at all","Several days","Not at all","Never true","Never true","Never true",NA,"No","Yes","2","1 hour"
"Female",16,"English",NA,NA,"good","No","often",NA,"Yes","Often","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Male",78,NA,NA,NA,"good","No","often",NA,"Yes","Often","Several days","Several days","Several days","More than half the days","Not at all","Not at all","Several days","Sometimes true","Often true","Often true","6","Yes","No",NA,"2 hour"
"Male",56,"English",NA,NA,"good","No","never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Sometimes true","Often true",NA,"No","No",NA,"1 hour"
"Male",67,"English",NA,NA,"good","No","sometimes","No","Yes","Never","Not at all","Not at all","Several days","Not at all","Several days","More than half the days","Not at all","Sometimes true","Sometimes true","Never true",NA,"No","Yes","7","1 hour"
"Female",68,"English",NA,NA,"very good","No","sometimes","No","Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Often true","Often true","Never true",NA,"Yes","Yes","7","1 hour"
"Female",50,"English",NA,NA,"very good","No","often",NA,"Yes","Often","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Male",44,"English",NA,NA,"fair","No","rarely",NA,"No",NA,"Nearly every day","Nearly every day","Several days","Several days","Several days","Not at all","Several days","Sometimes true","Sometimes true","Never true",NA,"No","No",NA,"2 hour"
"Female",26,"English",NA,NA,"very good","No","never",NA,"Yes","Often","Several days","Several days","Not at all","Several days","Several days","Several days","Several days","Sometimes true","Sometimes true","Sometimes true",NA,"No","No",NA,"1 hour"
"Female",27,"English",NA,NA,"good","Yes","often","No","Yes","Never","Nearly every day","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"5 hour"
"Male",49,NA,NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Often true","Often true",NA,NA,NA,NA,"2 hour"
"Male",41,"English",NA,NA,"very good","No","rarely","No","Yes","Often","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Female",58,"English",NA,NA,"very good","No","rarely","No","Yes","Often","Not at all","Not at all","Several days","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"5 hour"
"Female",68,"English",NA,"Only English","very good","Yes","often",NA,"Yes","Never","Not at all","More than half the days","Not at all","Not at all","Nearly every day","Several days","Several days","Often true","Never true","Never true",NA,"No","No",NA,"1 hour"
"Female",76,"English",NA,NA,"good","No","often",NA,"No",NA,"Not at all","Not at all","Nearly every day","More than half the days","Not at all","Not at all","Not at all","Never true","Never true","Never true","7","Yes","No",NA,"2 hour"
"Female",28,"English",NA,NA,"very good","Yes","often",NA,"Yes","Rarely","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Sometimes true","Never true","Never true",NA,"Yes","No",NA,"5 hour"
"Male",64,"English",NA,NA,"good","No","often",NA,"Yes","Sometimes","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Sometimes true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Female",46,"English,Other","Thai",NA,"excellent","No","often","Yes","Yes","Never",NA,NA,NA,NA,NA,NA,NA,"Often true","Often true","Sometimes true",NA,"No","Yes","3","3 hour"
"Male",56,NA,NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"3 hour"
"Female",26,"English",NA,NA,"good","No","never",NA,"Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Never true",NA,"Yes","Yes","2","3 hour"
"Male",44,"English",NA,NA,"good","No","rarely",NA,"Yes","Sometimes","Several days","Not at all","Several days","Several days","Not at all","Several days","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"1 hour"
"Male",40,"English",NA,NA,"poor","No","often","No","No",NA,"Nearly every day","Several days","Nearly every day","Nearly every day","Several days","Several days","Several days","Never true","Never true","Often true",NA,"Yes","No",NA,"less than 1 hour"
"Male",54,"English,Other","Japanese",NA,"good","No","never","No","Yes","Often","Not at all","Not at all","Not at all","Several days","Not at all","Several days","Not at all","Never true","Never true","Never true",NA,"Yes","Yes","2","1 hour"
"Female",78,"English",NA,NA,"fair","No","often","No","Yes","Never","Not at all","Several days","Not at all","Several days","Several days","Not at all","Not at all","Never true","Never true","Sometimes true","3","Yes","No",NA,"less than 1 hour"
"Female",36,"English",NA,NA,"good","Yes","never","No","Yes","Often","Not at all","Not at all","Several days","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","2","3 hour"
"Male",36,"English",NA,NA,"excellent","Yes","often",NA,"Yes","Rarely","Not at all","Not at all","Not at all","More than half the days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","Yes","2","less than 1 hour"
"Female",28,NA,NA,"More English than non-English language","good","No","often","No","Yes","Rarely","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"less than 1 hour"
"Male",23,"English",NA,NA,NA,"No","often",NA,"Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Male",69,"English",NA,NA,"good","No","often",NA,"Yes","Sometimes","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","Yes","5","1 hour"
"Female",27,"English",NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"5 hour"
"Male",80,NA,NA,NA,"good","No","often","No","No",NA,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"1 hour"
"Male",31,"English",NA,NA,"good","No","sometimes",NA,"Yes","Rarely",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","Yes","3","5 hour"
"Male",42,"English",NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"1 hour"
"Female",22,"English",NA,"Only Non-English language","good","Yes","often","No","Yes","Often","Several days","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Male",45,"English",NA,NA,NA,"No","sometimes",NA,"Yes","Often",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No",NA,"less than 1 hour"
"Male",46,"English",NA,NA,"good","No","often",NA,"Yes","Sometimes","Not at all","Nearly every day","Nearly every day","More than half the days","Not at all","Not at all","Not at all","Often true","Often true","Never true","7","No","No",NA,"2 hour"
"Male",30,"English",NA,NA,NA,"No","sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"1 hour"
"Male",53,",Other","Chinese",NA,"very good","No","often",NA,"Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Sometimes true",NA,"No","No",NA,"2 hour"
"Male",49,"English",NA,NA,"very good","No","sometimes",NA,"No","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","7","5 hour"
"Female",39,"English",NA,NA,"good","No","sometimes","No","No","Sometimes","Several days","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Never true","Never true","Sometimes true",NA,"Yes","No","3","5 hour"
"Female",33,NA,NA,NA,NA,"No","often",NA,"Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Female",41,NA,NA,"Only English","very good","Yes","often",NA,"Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Sometimes true","Often true","Never true",NA,"No","No",NA,"1 hour"
"Male",28,"English",NA,NA,"fair","No","often","No","Yes","Sometimes","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all",NA,"Sometimes true","Never true",NA,"No","Yes","4","1 hour"
"Male",42,NA,NA,"Only English","fair","No","often",NA,"Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Female",24,"English",NA,"Only Non-English language","very good","No","often","No","No","Never","Several days","Several days","Several days","Several days","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No","3","less than 1 hour"
"Male",52,"English",NA,"Only English","very good","No","often",NA,"Yes","Never",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No","7","1 hour"
"Male",66,"English",NA,NA,"good","No","rarely",NA,"Yes","Sometimes","Not at all","Not at all","Nearly every day","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No","7","1 hour"
"Female",77,"English",NA,NA,"good","No","often",NA,"Yes","Rarely","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Often true","Sometimes true","Sometimes true",NA,"No","No",NA,"3 hour"
"Male",26,NA,NA,NA,"fair","No","often",NA,"Yes","Never","Not at all","Not at all","Nearly every day","Several days","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Never true",NA,"No","No","3","2 hour"
"Male",30,"English",NA,"Only English","fair","No","often","No","Yes","Often","More than half the days","More than half the days","Nearly every day","Nearly every day","More than half the days","Several days","Not at all","Sometimes true","Sometimes true","Often true",NA,NA,"No",NA,"less than 1 hour"
"Male",59,"English",NA,"Only English","good","No","sometimes",NA,"Yes","Sometimes","Several days","Several days","More than half the days","Several days","More than half the days","Several days","Several days","Never true","Never true","Never true",NA,"Yes","No",NA,"1 hour"
"Female",43,"English",NA,NA,"very good","Yes","often",NA,"Yes","Often","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"1 hour"
